상호명,시군구명,위도,경도,is_starbucks,projected_cluster
가든파이브,송파구,37.47797468,127.1211852,1,2
문정역2번출구,송파구,37.4862934,127.1232027,1,1
잠실본동,송파구,37.50864459,127.079491,1,2
송파NC,송파구,37.47804419,127.1258008,1,2
잠실트리지움,송파구,37.5109647,127.0861225,1,1
송파거여역,송파구,37.49360001,127.1436454,1,2
몽촌토성역,송파구,37.516913,127.113127,1,2
잠실학원사거리,송파구,37.5073157,127.0909887,1,2
잠실르엘,송파구,37.51595,127.10663,1,1
송파KT,송파구,37.51394208,127.1069923,1,1
문정법조타운 한양타워,송파구,37.48579659,127.1178142,1,1
송파마천사거리DT,송파구,37.499829,127.147672,1,4
목동파리공원,양천구,37.535336,126.878852,1,4
등촌역,양천구,37.548884,126.86807,1,2
목동행복한,양천구,37.52972768,126.8759452,1,4
신정DT,양천구,37.521993,126.858865,1,2
목동역,양천구,37.526684,126.863986,1,2
목동오목로,양천구,37.525923,126.868438,1,2
목동8단지,양천구,37.520518,126.868841,1,4
오목교역,양천구,37.52385593,126.8764499,1,2
