feature,lower_bound,upper_bound,outlier_count,outlier_rate,outlier_direction,상호명,시군구명,도로명주소,value
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,망원한강공원,마포구,서울특별시 마포구 마포나루길 435 (망원동),1.246
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,신월동DT,양천구,서울특별시 양천구 남부순환로 319 (신월동),1.2311
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,은행사거리,노원구,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",1.1746
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,금천시흥,금천구,서울특별시 금천구 시흥대로 164 (시흥동),1.1185
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,1.1133
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,남가좌사거리,서대문구,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",1.0949
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,연대동문,서대문구,서울특별시 서대문구 성산로 565 (대신동),1.0847
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,목동파리공원,양천구,서울특별시 양천구 목동동로 377 (목동),1.0618
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,삼청동,종로구,서울특별시 종로구 삼청로 111-1 (삼청동),1.0411
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,포이,강남구,서울특별시 강남구 논현로 88 (개포동),1.026
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,화곡DT,강서구,서울특별시 강서구 등촌로 57 (화곡동),1.0065
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,독산사거리,금천구,서울특별시 금천구 시흥대로 426 (독산동),0.9936
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,연희동,서대문구,서울특별시 서대문구 연희로 79 (연희동),0.9693
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,목동,양천구,서울특별시 양천구 목동서로 67 (목동) 우성에펠타운,0.9639
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,양재하나로마트,서초구,서울특별시 서초구 청계산로 10 (양재동),0.95
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,장위뉴타운,성북구,서울특별시 성북구 장월로38길 4 (장위동),0.9426
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),0.9191
num_subway_500m,1.0,1.0,233,0.3421,high,무교동,중구,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,4.0
num_subway_500m,1.0,1.0,233,0.3421,high,스타필드코엑스몰R,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,3.0
num_subway_500m,1.0,1.0,233,0.3421,high,삼성동,강남구,서울특별시 강남구 영동대로96길 12 (삼성동),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,숭례문,중구,"서울특별시 중구 세종대로 17, 그레이츠 숭례 1층 (남대문로5가)",3.0
num_subway_500m,1.0,1.0,233,0.3421,high,한국프레스센터,중구,서울특별시 중구 세종대로 124 (태평로1가),3.0
